sort_order,page,letter,code,code_type,headword,sub_headword,term,site_restriction,obs,see_snomed,see_also,is_headword_entry
0,104,A,C76.2,topography,Abdomen,,NOS,,false,false,,false
1,104,A,C47.4,topography,Abdomen,,autonomic nervous system,,false,false,,false
2,104,A,C49.4,topography,Abdomen,,connective tissue,,false,false,,false
3,104,A,C49.4,topography,Abdomen,,muscle,,false,false,,false
4,104,A,C47.4,topography,Abdomen,,peripheral nerve,,false,false,,false
5,104,A,C44.5,topography,Abdomen,,skin,,false,false,,false
6,104,A,C49.4,topography,Abdomen,,subcutaneous tissue,,false,false,,false
7,104,A,C49.4,topography,Abdominal,,aorta,,false,false,,false
8,104,A,C15.2,topography,Abdominal,,esophagus,,false,false,,false
9,104,A,C77.2,topography,Abdominal,,lymph node,,false,false,,false
10,104,A,C49.4,topography,Abdominal,,vena cava,,false,false,,false
11,104,A,8822/1,morphology,Abdominal desmoid,,Abdominal desmoid,,false,false,,true
12,104,A,8822/1,morphology,Abdominal fibromatosis,,Abdominal fibromatosis,,false,false,,true
13,104,A,C76.2,topography,Abdominal wall,,NOS,,false,false,,false
14,104,A,C44.5,topography,Abdominal wall,,"NOS (carcinoma, melanoma, nevus)",,false,false,,false
15,104,A,C49.4,topography,Abdominal wall,,"NOS (sarcoma, lipoma)",,false,false,,false
16,104,A,C49.4,topography,Abdominal wall,,adipose tissue,,false,false,,false
17,104,A,C47.4,topography,Abdominal wall,,autonomic nervous system,,false,false,,false
18,104,A,C49.4,topography,Abdominal wall,,connective tissue,,false,false,,false
19,104,A,C49.4,topography,Abdominal wall,,fatty tissue,,false,false,,false
20,104,A,C49.4,topography,Abdominal wall,,fibrous tissue,,false,false,,false
21,104,A,C49.4,topography,Abdominal wall,,muscle,,false,false,,false
22,104,A,C47.4,topography,Abdominal wall,,peripheral nerve,,false,false,,false
23,104,A,C49.4,topography,Abdominal wall,,skeletal muscle,,false,false,,false
24,104,A,C44.5,topography,Abdominal wall,,skin,,false,false,,false
25,104,A,C49.4,topography,Abdominal wall,,soft tissue,,false,false,,false
26,104,A,C49.4,topography,Abdominal wall,,subcutaneous tissue,,false,false,,false
27,104,A,C72.5,topography,Abducens nerve,,Abducens nerve,,false,false,,true
28,104,A,9871/3,morphology,Abnormal,,"marrow eosinophils, acute myeloid leukemia with (includes all variants)",,false,false,,false
29,104,A,9871/3,morphology,Abnormal,,"marrow eosinophils, acute myelomonocytic leukemia with (includes all variants)",,false,false,,false
30,104,A,9898/1,morphology,Abnormal,,"myelopoiesis, transient",,false,false,,false
31,104,A,9867/3,morphology,"Abnormalities, myeloid and lymphoid",,"Abnormalities, myeloid and lymphoid neoplasms with FGFR1",,false,false,,true
32,104,A,8075/3,morphology,Acantholytic squamous cell carcinoma,,Acantholytic squamous cell carcinoma,,false,false,,true
33,104,A,,,,,"Acanthoma, clear cell (see SNOMED)",,false,true,,false
34,104,A,,,,,Acanthosis nigricans (see SNOMED),,false,true,,false
35,104,A,C31.9,topography,Accessory,,nasal sinus,,false,false,,false
36,104,A,C72.5,topography,Accessory,,"nerve, NOS",,false,false,,false
37,104,A,C72.5,topography,Accessory,,"nerve, spinal",,false,false,,false
38,104,A,C31.9,topography,Accessory,,"sinus, nasal",,false,false,,false
39,104,A,C31.9,topography,Accessory,,"sinus, NOS",,false,false,,false
40,104,A,C41.4,topography,Acetabulum,,Acetabulum,,false,false,,true
41,104,A,8730/0,morphology,Achromic nevus (C44._),,Achromic nevus (C44._),,false,false,,true
42,104,A,8280/3,morphology,Acidophil,,adenocarcinoma (C75.1),C75.1,false,false,,false
43,104,A,8280/0,morphology,Acidophil,,adenoma (C75.1),C75.1,false,false,,false
44,104,A,8280/3,morphology,Acidophil,,carcinoma (C75.1),C75.1,false,false,,false
45,104,A,8281/0,morphology,"Acidophil-basophil adenoma, mixed",,"Acidophil-basophil adenoma, mixed (C75.1)",C75.1,false,false,,true
46,104,A,8281/3,morphology,"Acidophil-basophil carcinoma, mixed",,"Acidophil-basophil carcinoma, mixed (C75.1)",C75.1,false,false,,true
47,104,A,8550/3,morphology,Acinar,,adenocarcinoma,,false,false,,false
48,104,A,8550/0,morphology,Acinar,,adenoma,,false,false,,false
49,104,A,8550/3,morphology,Acinar,,carcinoma,,false,false,,false
50,104,A,8550/0,morphology,Acinar cell,,adenoma,,false,false,,false
51,104,A,8550/3,morphology,Acinar cell,,carcinoma,,false,false,,false
52,104,A,8551/3,morphology,Acinar cell,,cystadenocarcinoma,,false,false,,false
53,104,A,8550/1,morphology,Acinar cell,,tumor [obs],,true,false,,false
54,104,A,8552/3,morphology,"Acinar-ductal carcinoma, mixed",,"Acinar-ductal carcinoma, mixed",,false,false,,true
55,104,A,8154/3,morphology,"Acinar-endocrine carcinoma, mixed",,"Acinar-endocrine carcinoma, mixed (C25._)",,false,false,,true
56,104,A,8154/3,morphology,"Acinar-endocrine-ductal carcinoma, mixed",,"Acinar-endocrine-ductal carcinoma, mixed",,false,false,,true
57,104,A,8550/3,morphology,Acinic cell,,adenocarcinoma,,false,false,,false
58,104,A,8550/0,morphology,Acinic cell,,adenoma,,false,false,,false
59,104,A,8550/1,morphology,Acinic cell,,tumor [obs],,true,false,,false
60,104,A,C72.4,topography,Acoustic nerve,,Acoustic nerve,,false,false,,true
61,104,A,9560/0,morphology,Acoustic neuroma,,Acoustic neuroma (C72.4),C72.4,false,false,,true
62,104,A,9161/0,morphology,Acquired tufted hemangioma,,Acquired tufted hemangioma,,false,false,,true
63,104,A,8744/3,morphology,"Acral lentiginous melanoma, malignant",,"Acral lentiginous melanoma, malignant (C44._)",,false,false,,true
64,104,A,C40.0,topography,Acromioclavicular joint,,Acromioclavicular joint,,false,false,,true
65,105,A,8402/0,morphology,"Acrospiroma, eccrine (C44._)",,"Acrospiroma, eccrine (C44._)",,false,false,,true
66,105,A,8158/1,morphology,ACTH-producing tumor,,ACTH-producing tumor,,false,false,,true
67,105,A,,,ACTH-producing tumor,,Actinic keratosis (see SNOMED),,false,true,,false
68,105,A,9840/3,morphology,Acute,,erythremia (C42.1) [obs],C42.1,true,false,,false
69,105,A,9840/3,morphology,Acute,,erythremic myelosis (C42.1) [obs],C42.1,true,false,,false
70,105,A,9931/3,morphology,Acute,,myelofibrosis (C42.1),C42.1,false,false,,false
71,105,A,9931/3,morphology,Acute,,"myelosclerosis, NOS (C42.1)",C42.1,false,false,,false
72,105,A,9931/3,morphology,Acute,,"panmyelosis, NOS (C42.1) [obs]",C42.1,true,false,,false
73,105,A,9931/3,morphology,Acute,,panmyelosis with myelofibrosis (C42.1),C42.1,false,false,,false
74,105,A,9751/3,morphology,Acute,,progressive histiocytosis X [obs],,true,false,,false
75,105,A,9310/0,morphology,Adamantinoma,,NOS (except of long bones 9261/3) (C41._),,false,false,,false
76,105,A,9261/3,morphology,Adamantinoma,,long bones (C40._),,false,false,,false
77,105,A,9310/3,morphology,Adamantinoma,,malignant (except of long bones 9261/3) (C41._),,false,false,,false
78,105,A,9261/3,morphology,Adamantinoma,,tibial (C40.2),C40.2,false,false,,false
79,105,A,9351/1,morphology,Adamantinomatous craniopharyngioma,,Adamantinomatous craniopharyngioma (C75.2),C75.2,false,false,,true
80,105,A,8570/3,morphology,Adenoacanthoma,,Adenoacanthoma,,false,false,,true
81,105,A,9300/0,morphology,Adenoameloblastoma (C41._),,Adenoameloblastoma (C41._),,false,false,,true
82,105,A,8313/3,morphology,Adenocarcinofibroma,,clear cell (C56.9),C56.9,false,false,,false
