sort_order,code,behavior,term,synonyms,site_restriction,obs,group_code,group_name
0,8000/0,0,"Neoplasm, benign","Tumor, benign | Unclassified tumor, benign",,false,800,"Neoplasms, NOS"
1,8000/1,1,"Neoplasm, uncertain whether benign or malignant","Neoplasm, NOS | Tumor, NOS | Unclassified tumor, borderline malignancy | Unclassified tumor, uncertain whether benign or malignant",,false,800,"Neoplasms, NOS"
2,8000/3,3,"Neoplasm, malignant","Blastoma, NOS | Tumor, malignant, NOS | Cancer | Malignancy | Unclassified tumor, malignant",,false,800,"Neoplasms, NOS"
3,8000/6,6,"Neoplasm, metastatic","Neoplasm, secondary | Tumor embolus | Tumor, metastatic | Tumor, secondary",,false,800,"Neoplasms, NOS"
4,8000/9,9,"Neoplasm, malignant, uncertain whether primary or metastatic","Unclassified tumor, malignant, uncertain whether primary or metastatic",,false,800,"Neoplasms, NOS"
5,8001/0,0,"Tumor cells, benign",,,false,800,"Neoplasms, NOS"
6,8001/1,1,"Tumor cells, uncertain whether benign or malignant","Tumor cells, NOS",,false,800,"Neoplasms, NOS"
7,8001/3,3,"Tumor cells, malignant",,,false,800,"Neoplasms, NOS"
8,8002/3,3,"Malignant tumor, small cell type",,,false,800,"Neoplasms, NOS"
9,8003/3,3,"Malignant tumor, giant cell type",,,false,800,"Neoplasms, NOS"
10,8004/3,3,"Malignant tumor, spindle cell type","Malignant tumor, fusiform cell type",,false,800,"Neoplasms, NOS"
11,8005/0,0,"Clear cell tumor, NOS",,,false,800,"Neoplasms, NOS"
12,8005/3,3,"Malignant tumor, clear cell type",,,false,800,"Neoplasms, NOS"
13,8010/0,0,"Epithelial tumor, benign",,,false,801-804,"Epithelial neoplasms, NOS"
14,8010/2,2,"Carcinoma in situ, NOS","Intraepithelial carcinoma, NOS",,false,801-804,"Epithelial neoplasms, NOS"
15,8010/3,3,"Carcinoma, NOS","Epithelial tumor, malignant",,false,801-804,"Epithelial neoplasms, NOS"
16,8010/6,6,"Carcinoma, metastatic, NOS",Secondary carcinoma,,false,801-804,"Epithelial neoplasms, NOS"
17,8010/9,9,Carcinomatosis,,,false,801-804,"Epithelial neoplasms, NOS"
18,8011/0,0,"Epithelioma, benign",,,false,801-804,"Epithelial neoplasms, NOS"
19,8011/3,3,"Epithelioma, malignant","Epithelioma, NOS",,false,801-804,"Epithelial neoplasms, NOS"
20,8012/3,3,"Large cell carcinoma, NOS",,,false,801-804,"Epithelial neoplasms, NOS"
21,8013/3,3,Large cell neuroendocrine carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
22,8014/3,3,Large cell carcinoma with rhabdoid phenotype,,,false,801-804,"Epithelial neoplasms, NOS"
23,8015/3,3,Glassy cell carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
24,8020/3,3,"Carcinoma, undifferentiated, NOS",,,false,801-804,"Epithelial neoplasms, NOS"
25,8021/3,3,"Carcinoma, anaplastic, NOS",,,false,801-804,"Epithelial neoplasms, NOS"
26,8022/3,3,Pleomorphic carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
27,8030/3,3,Giant cell and spindle cell carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
28,8031/3,3,Giant cell carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
29,8032/3,3,"Spindle cell carcinoma, NOS",,,false,801-804,"Epithelial neoplasms, NOS"
30,8033/3,3,Pseudosarcomatous carcinoma,Sarcomatoid carcinoma,,false,801-804,"Epithelial neoplasms, NOS"
31,8034/3,3,Polygonal cell carcinoma,,,false,801-804,"Epithelial neoplasms, NOS"
32,8035/3,3,Carcinoma with osteoclast-like giant cells,,,false,801-804,"Epithelial neoplasms, NOS"
33,8040/0,0,"Tumorlet, benign",,,false,801-804,"Epithelial neoplasms, NOS"
34,8040/1,1,"Tumorlet, NOS",,,false,801-804,"Epithelial neoplasms, NOS"
35,8041/3,3,"Small cell carcinoma, NOS",Reserve cell carcinoma | Round cell carcinoma | Small cell neuroendocrine carcinoma,,false,801-804,"Epithelial neoplasms, NOS"
36,8042/3,3,Oat cell carcinoma (C34._),,,false,801-804,"Epithelial neoplasms, NOS"
37,8043/3,3,"Small cell carcinoma, fusiform cell",,,false,801-804,"Epithelial neoplasms, NOS"
38,8044/3,3,"Small cell carcinoma, intermediate cell",,,false,801-804,"Epithelial neoplasms, NOS"
39,8045/3,3,Combined small cell carcinoma,Mixed small cell carcinoma | Combined small cell-adenocarcinoma | Combined small cell-large cell carcinoma | Combined small cell-squamous cell carcinoma,,false,801-804,"Epithelial neoplasms, NOS"
40,8046/3,3,Non-small cell carcinoma (C34._),,,false,801-804,"Epithelial neoplasms, NOS"
41,8050/0,0,"Papilloma, NOS (except papilloma of bladder M-8120/1)",,,false,805-808,Squamous cell neoplasms
42,8050/2,2,Papillary carcinoma in situ,,,false,805-808,Squamous cell neoplasms
43,8050/3,3,"Papillary carcinoma, NOS",,,false,805-808,Squamous cell neoplasms
44,8051/0,0,Verrucous papilloma,,,false,805-808,Squamous cell neoplasms
45,8051/3,3,"Verrucous carcinoma, NOS",Condylomatous carcinoma | Verrucous epidermoid carcinoma | Verrucous squamous cell carcinoma | Warty carcinoma,,false,805-808,Squamous cell neoplasms
46,8052/0,0,"Squamous cell papilloma, NOS",Keratotic papilloma | Squamous papilloma,,false,805-808,Squamous cell neoplasms
47,8052/2,2,"Papillary squamous cell carcinoma, non-invasive",Papillary squamous cell carcinoma in situ,,false,805-808,Squamous cell neoplasms
48,8052/3,3,Papillary squamous cell carcinoma,Papillary epidermoid carcinoma,,false,805-808,Squamous cell neoplasms
49,8053/0,0,"Squamous cell papilloma, inverted",,,false,805-808,Squamous cell neoplasms
50,8060/0,0,Squamous papillomatosis,"Papillomatosis, NOS",,false,805-808,Squamous cell neoplasms
51,8070/2,2,"Squamous cell carcinoma in situ, NOS","Epidermoid carcinoma in situ, NOS | Intraepidermal carcinoma, NOS | Intraepithelial squamous cell carcinoma",,false,805-808,Squamous cell neoplasms
52,8070/3,3,"Squamous cell carcinoma, NOS","Epidermoid carcinoma, NOS | Squamous carcinoma | Squamous cell epithelioma",,false,805-808,Squamous cell neoplasms
53,8070/6,6,"Squamous cell carcinoma, metastatic, NOS",,,false,805-808,Squamous cell neoplasms
54,8071/3,3,"Squamous cell carcinoma, keratinizing, NOS","Epidermoid carcinoma, keratinizing | Squamous cell carcinoma, large cell, keratinizing",,false,805-808,Squamous cell neoplasms
55,8072/3,3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS","Epidermoid carcinoma, large cell, nonkeratinizing | Squamous cell carcinoma, nonkeratinizing, | NOS",,false,805-808,Squamous cell neoplasms
56,8073/3,3,"Squamous cell carcinoma, small cell, nonkeratinizing","Epidermoid carcinoma, small cell, nonkeratinizing",,false,805-808,Squamous cell neoplasms
57,8074/3,3,"Squamous cell carcinoma, spindle cell","Epidermoid carcinoma, spindle cell | Squamous cell carcinoma, sarcomatoid",,false,805-808,Squamous cell neoplasms
58,8075/3,3,"Squamous cell carcinoma, adenoid","Squamous cell carcinoma, acantholytic | Squamous cell carcinoma, pseudoglandular",,false,805-808,Squamous cell neoplasms
59,8076/2,2,Squamous cell carcinoma in situ with questionable stromal invasion,Epidermoid carcinoma in situ with questionable stromal invasion,,false,805-808,Squamous cell neoplasms
60,8076/3,3,"Squamous cell carcinoma, microinvasive",,,false,805-808,Squamous cell neoplasms
